date,asset,ret_1_0,ret_3_1,ret_6_1,ret_12_1,be_me,at_me,sale_me,ni_me,ocf_me,ebitda_mev
2010-01-04,209488,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,209881,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,209922,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210087,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210090,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210209,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210263,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210475,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210560,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210569,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210874,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,210877,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,211510,0.0061827647,-0.10851522,0.104315855,0.8120195,0.9962718,1.7490114,2.2920265,0.06335785,0.12250322,0.1556575
2010-01-04,211540,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,211689,-0.035106182,-0.022952626,0.5462602,0.48088416,4.2878623,8.146178,14.41717,0.3253673,0.7917832,0.7355562
2010-01-04,211870,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,211987,0.09965586,0.06831183,0.06865414,0.33482897,2.2632248,2.9797027,1.8960097,0.17837436,0.17070183,0.27649254
2010-01-04,212009,-0.00087127526,0.0038444365,0.12693805,0.045843687,0.7728026,1.9063444,2.4153373,0.007006862,0.2888041,0.19553809
2010-01-04,212064,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,212395,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,212605,-0.31332633,0.011962689,0.033560153,0.13400109,1.9318883,7.425266,7.923879,-0.24338363,-0.2998465,0.04888183
2010-01-04,212973,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,213127,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
2010-01-04,213315,0.00074194913,0.011962689,0.033560153,0.13400109,0.7728026,1.7490114,0.63442075,0.010524123,0.062897325,0.0494689
